block,edge,sensor,signature,subject_id
enroll,left,S1_head_carotid,e74dd58631ee81a2b2e3361df49a949a781d37a30512c6dd3dcc94f19a13380a,P01
enroll,right,S1_head_carotid,1b481d5b166f2507b7a1af7774ef057a8846665efcdde0fec2c2d96f3eef2171,P01
enroll,left,S2_neck_aortic_arch,3dc724d765b22d66e1e94f14adf52cdef0c5020cfea682bc13b44e950a90b4e2,P01
enroll,right,S2_neck_aortic_arch,61955fdf50ba1cd30404d2b360456300d4cec903b48c23a9f237f70e074eb48a,P01
enroll,left,S3_chest_heart_aorta,6815bf3dc213bc069e5eddc276244dc3c87d5d5a87000b04af4db3a33037487b,P01
enroll,right,S3_chest_heart_aorta,c36f526050f33368507cbb05496f0e9c777f02f2029b987606638bbe0ea5fb47,P01
enroll,left,S4_chest_heart_aorta,adf67edf1ec4c5ed918c4c1b86a943ad7cd2f344a94eea7377996c7d71a2e06f,P01
enroll,right,S4_chest_heart_aorta,0de533b694137dca50de68716293d4ac426ce87301e30d9fad8ebc1816bdbd4f,P01
enroll,left,S5_loins_renal_aorta,78c61c8241efe18eafabd9713ee3d1f0c0b132a4728a9e1b9174e809deeee8c3,P01
enroll,right,S5_loins_renal_aorta,31c5ece2630c45e0c5da8b50b53e4e623a5643a45c114192c50fb516e4746bfe,P01
enroll,left,S6_buttocks_iliac,7e9b38b8d0bb2da28d49d183ab22c2c4b99deeb91f7525e688ffa5d12aa420bb,P01
enroll,right,S6_buttocks_iliac,e37afc12e88bdb7120745f429636327324c72e9ad7d88b1280e39d148c370959,P01
enroll,left,S7_buttocks_iliac,46481c504ebeb380001e0c8869538826bffeb4185032b437659ec111511da523,P01
enroll,right,S7_buttocks_iliac,d99dec7743c090aa348aa1951226368e124127b86b5a3c5aa4469e50b843cdf3,P01
enroll,left,S8_leg_femoral,7637c73d1bf1fd77f072d6e9a809a0fc1076f83e007852b8e6a13df57cba142b,P01
enroll,right,S8_leg_femoral,b937fc316a0faf738517690ad4ed471155e399206f5b3653d0e6f734dd573a08,P01
query,left,S1_head_carotid,5510c25e71c51de423347fd107b7dfec55a093024588da16a27701904e298f79,P01
query,right,S1_head_carotid,4edd4d9ff183aedc5a6923cfd76e6a3b169ad420cf8e95328ff00e0f9cf8f651,P01
query,left,S2_neck_aortic_arch,2c054e021675213a3410bf06e6f7285263dad320865d878018abb9e9b9283794,P01
query,right,S2_neck_aortic_arch,9503fd81a799646bfc4a910afb441278803ddb866ecde89e27289471f1b80f11,P01
query,left,S3_chest_heart_aorta,f04b44406e6d04dcabc02e48a35f0f6655377f3d72ece56ac3a60960d786c054,P01
query,right,S3_chest_heart_aorta,0e1f3425fe7ce39872900f5a9d45f1aa929cc6f657e7aabc98bd20e282c652cd,P01
query,left,S4_chest_heart_aorta,4f633f4ca6b015f7863082b7017955680d08830086e03ba5512df16bd67249d2,P01
query,right,S4_chest_heart_aorta,bb6204d08769fe7c47d3648cf90ae6590ebd150b0991db0c410e4664d04ff3b4,P01
