enroll_sensor,median_rank,query_sensor,rank_1,rank_5,verification_auroc
S1_head_carotid,6.0,S2_neck_aortic_arch,0.14814814814814814,0.4074074074074074,0.7525588266329006
S1_head_carotid,13.0,S3_chest_heart_aorta,0.1111111111111111,0.2222222222222222,0.6220322886989552
S1_head_carotid,8.0,S4_chest_heart_aorta,0.14814814814814814,0.3333333333333333,0.6523688931096339
S1_head_carotid,9.0,S5_loins_renal_aorta,0.1111111111111111,0.3333333333333333,0.6299989448137596
S1_head_carotid,8.0,S6_buttocks_iliac,0.037037037037037035,0.2962962962962963,0.6226126411311597
S1_head_carotid,5.0,S7_buttocks_iliac,0.14814814814814814,0.5185185185185185,0.6578558615595653
S1_head_carotid,7.0,S8_leg_femoral,0.2222222222222222,0.4074074074074074,0.7044423340719637
S2_neck_aortic_arch,5.0,S1_head_carotid,0.07407407407407407,0.5185185185185185,0.7365727550912736
S2_neck_aortic_arch,5.0,S3_chest_heart_aorta,0.25925925925925924,0.5185185185185185,0.7684921388625092
S2_neck_aortic_arch,10.0,S4_chest_heart_aorta,0.1111111111111111,0.3333333333333333,0.6275192571488868
S2_neck_aortic_arch,8.0,S5_loins_renal_aorta,0.14814814814814814,0.37037037037037035,0.648306426084204
S2_neck_aortic_arch,6.0,S6_buttocks_iliac,0.2222222222222222,0.48148148148148145,0.668091168091168
S2_neck_aortic_arch,11.0,S7_buttocks_iliac,0.18518518518518517,0.37037037037037035,0.6040941226126411
S2_neck_aortic_arch,7.0,S8_leg_femoral,0.18518518518518517,0.37037037037037035,0.6911469874432837
S3_chest_heart_aorta,7.0,S1_head_carotid,0.037037037037037035,0.37037037037037035,0.6393901023530654
S3_chest_heart_aorta,5.0,S2_neck_aortic_arch,0.14814814814814814,0.5185185185185185,0.7503429355281207
S3_chest_heart_aorta,9.0,S4_chest_heart_aorta,0.1111111111111111,0.4074074074074074,0.6314234462382611
S3_chest_heart_aorta,8.0,S5_loins_renal_aorta,0.2222222222222222,0.48148148148148145,0.6899862825788752
S3_chest_heart_aorta,10.0,S6_buttocks_iliac,0.037037037037037035,0.2962962962962963,0.6709929302521894
S3_chest_heart_aorta,7.0,S7_buttocks_iliac,0.07407407407407407,0.37037037037037035,0.6440329218106995
S3_chest_heart_aorta,8.0,S8_leg_femoral,0.1111111111111111,0.3333333333333333,0.6796454574232352
S4_chest_heart_aorta,5.0,S1_head_carotid,0.1111111111111111,0.5185185185185185,0.6677746122190568
S4_chest_heart_aorta,12.0,S2_neck_aortic_arch,0.25925925925925924,0.37037037037037035,0.6370686926242481
S4_chest_heart_aorta,14.0,S3_chest_heart_aorta,0.1111111111111111,0.2222222222222222,0.5715416270971826
S4_chest_heart_aorta,8.0,S5_loins_renal_aorta,0.07407407407407407,0.37037037037037035,0.6775878442545109
S4_chest_heart_aorta,8.0,S6_buttocks_iliac,0.14814814814814814,0.4074074074074074,0.6904611163870423
S4_chest_heart_aorta,6.0,S7_buttocks_iliac,0.07407407407407407,0.48148148148148145,0.6860293341774822
S4_chest_heart_aorta,8.0,S8_leg_femoral,0.1111111111111111,0.25925925925925924,0.6398649361612324
S5_loins_renal_aorta,12.0,S1_head_carotid,0.0,0.2222222222222222,0.578400337659597
S5_loins_renal_aorta,8.0,S2_neck_aortic_arch,0.14814814814814814,0.37037037037037035,0.6626041996412367
S5_loins_renal_aorta,6.0,S3_chest_heart_aorta,0.18518518518518517,0.4444444444444444,0.7283423024163764
S5_loins_renal_aorta,11.0,S4_chest_heart_aorta,0.1111111111111111,0.18518518518518517,0.6350638387675425
S5_loins_renal_aorta,7.0,S6_buttocks_iliac,0.25925925925925924,0.4074074074074074,0.7258626147515036
S5_loins_renal_aorta,8.0,S7_buttocks_iliac,0.1111111111111111,0.3333333333333333,0.7207449614857022
S5_loins_renal_aorta,10.0,S8_leg_femoral,0.14814814814814814,0.37037037037037035,0.6761105835179909
S6_buttocks_iliac,12.0,S1_head_carotid,0.037037037037037035,0.25925925925925924,0.617283950617284
S6_buttocks_iliac,11.0,S2_neck_aortic_arch,0.14814814814814814,0.3333333333333333,0.6146459850163554
S6_buttocks_iliac,11.0,S3_chest_heart_aorta,0.14814814814814814,0.3333333333333333,0.6196581196581197
S6_buttocks_iliac,5.0,S4_chest_heart_aorta,0.07407407407407407,0.5555555555555556,0.7053392423762794
S6_buttocks_iliac,6.0,S5_loins_renal_aorta,0.18518518518518517,0.4444444444444444,0.6995884773662552
S6_buttocks_iliac,4.0,S7_buttocks_iliac,0.3333333333333333,0.6296296296296297,0.8076395483802891
S6_buttocks_iliac,6.0,S8_leg_femoral,0.25925925925925924,0.48148148148148145,0.7072913369209666
S7_buttocks_iliac,11.0,S1_head_carotid,0.14814814814814814,0.3333333333333333,0.6148042629524112
S7_buttocks_iliac,8.0,S2_neck_aortic_arch,0.037037037037037035,0.3333333333333333,0.6297879075656853
S7_buttocks_iliac,11.0,S3_chest_heart_aorta,0.037037037037037035,0.2962962962962963,0.6254616439801625
S7_buttocks_iliac,6.0,S4_chest_heart_aorta,0.0,0.37037037037037035,0.7377334599556822
S7_buttocks_iliac,5.0,S5_loins_renal_aorta,0.14814814814814814,0.5185185185185185,0.7117231191305265
S7_buttocks_iliac,3.0,S6_buttocks_iliac,0.3333333333333333,0.6666666666666666,0.8195631528964862
S7_buttocks_iliac,3.0,S8_leg_femoral,0.25925925925925924,0.6296296296296297,0.7608947979318349
S8_leg_femoral,13.0,S1_head_carotid,0.18518518518518517,0.25925925925925924,0.5842038619816398
S8_leg_femoral,7.0,S2_neck_aortic_arch,0.2222222222222222,0.48148148148148145,0.7157855861559564
S8_leg_femoral,8.0,S3_chest_heart_aorta,0.07407407407407407,0.4074074074074074,0.6540571910942281
S8_leg_femoral,8.0,S4_chest_heart_aorta,0.07407407407407407,0.4074074074074074,0.6168618761211354
S8_leg_femoral,6.0,S5_loins_renal_aorta,0.14814814814814814,0.48148148148148145,0.7087685976574866
S8_leg_femoral,4.0,S6_buttocks_iliac,0.25925925925925924,0.5925925925925926,0.7477577292392107
S8_leg_femoral,4.0,S7_buttocks_iliac,0.14814814814814814,0.7037037037037037,0.8191938377123561
