enroll_sensor,query_sensor,rank,same_person_similarity,subject_id
S1_head_carotid,S2_neck_aortic_arch,5,0.20297938532165521,P01
S1_head_carotid,S2_neck_aortic_arch,11,0.08995438547112555,P02
S1_head_carotid,S2_neck_aortic_arch,2,0.44883720519407133,P03
S1_head_carotid,S2_neck_aortic_arch,9,0.1620492160480855,P04
S1_head_carotid,S2_neck_aortic_arch,21,-0.2088270866713724,P05
S1_head_carotid,S2_neck_aortic_arch,6,0.21806644173512035,P06
S1_head_carotid,S2_neck_aortic_arch,14,0.019941667781832213,P07
S1_head_carotid,S2_neck_aortic_arch,4,0.48347105810616875,P08
S1_head_carotid,S2_neck_aortic_arch,6,0.2680104040573723,P09
S1_head_carotid,S2_neck_aortic_arch,7,0.10618913600527212,P10
S1_head_carotid,S2_neck_aortic_arch,1,0.5921746671583417,P11
S1_head_carotid,S2_neck_aortic_arch,5,0.22275722702386028,P12
S1_head_carotid,S2_neck_aortic_arch,1,0.5855077859981677,P13
S1_head_carotid,S2_neck_aortic_arch,1,0.5376000950239942,P14
S1_head_carotid,S2_neck_aortic_arch,18,-0.09200019569537793,P15
S1_head_carotid,S2_neck_aortic_arch,7,0.2054094124766388,P16
S1_head_carotid,S2_neck_aortic_arch,12,0.201534037330395,P17
S1_head_carotid,S2_neck_aortic_arch,8,0.19863815506298738,P18
S1_head_carotid,S2_neck_aortic_arch,14,0.01192072681754381,P19
S1_head_carotid,S2_neck_aortic_arch,3,0.40172814788909916,P20
S1_head_carotid,S2_neck_aortic_arch,1,0.7569581841525862,P21
S1_head_carotid,S2_neck_aortic_arch,7,0.20086534607715614,P22
S1_head_carotid,S2_neck_aortic_arch,6,0.17932431544297348,P23
S1_head_carotid,S2_neck_aortic_arch,4,0.25635556229791684,P24
S1_head_carotid,S2_neck_aortic_arch,9,0.21930503201908774,P25
S1_head_carotid,S2_neck_aortic_arch,2,0.31097424429630727,P26
S1_head_carotid,S2_neck_aortic_arch,14,0.004156529112710212,P27
S1_head_carotid,S3_chest_heart_aorta,8,0.13456565969954204,P01
S1_head_carotid,S3_chest_heart_aorta,21,-0.10477332807894968,P02
S1_head_carotid,S3_chest_heart_aorta,13,0.0359154489564675,P03
S1_head_carotid,S3_chest_heart_aorta,13,0.07206292946418091,P04
S1_head_carotid,S3_chest_heart_aorta,15,0.024071497673606918,P05
S1_head_carotid,S3_chest_heart_aorta,20,-0.16504614687827526,P06
S1_head_carotid,S3_chest_heart_aorta,15,-0.004652603587696633,P07
S1_head_carotid,S3_chest_heart_aorta,2,0.49896881118697695,P08
S1_head_carotid,S3_chest_heart_aorta,19,-0.15691101685852615,P09
S1_head_carotid,S3_chest_heart_aorta,15,-0.04527864444091104,P10
S1_head_carotid,S3_chest_heart_aorta,1,0.7965260832142262,P11
S1_head_carotid,S3_chest_heart_aorta,17,-0.11302455497627778,P12
S1_head_carotid,S3_chest_heart_aorta,1,0.6293982268923196,P13
S1_head_carotid,S3_chest_heart_aorta,6,0.3535637898322617,P14
S1_head_carotid,S3_chest_heart_aorta,7,0.19500767912608286,P15
S1_head_carotid,S3_chest_heart_aorta,15,-0.12185785606384612,P16
S1_head_carotid,S3_chest_heart_aorta,6,0.31864116726304037,P17
S1_head_carotid,S3_chest_heart_aorta,11,0.027311748863905125,P18
S1_head_carotid,S3_chest_heart_aorta,14,0.12676722922749845,P19
S1_head_carotid,S3_chest_heart_aorta,13,0.04896593499485775,P20
S1_head_carotid,S3_chest_heart_aorta,1,0.6966525212604883,P21
S1_head_carotid,S3_chest_heart_aorta,6,0.2540424720844666,P22
S1_head_carotid,S3_chest_heart_aorta,16,-0.06194219779754039,P23
S1_head_carotid,S3_chest_heart_aorta,2,0.4337957144635245,P24
S1_head_carotid,S3_chest_heart_aorta,25,-0.40359511653813485,P25
S1_head_carotid,S3_chest_heart_aorta,13,-0.04444667307115036,P26
S1_head_carotid,S3_chest_heart_aorta,3,0.35774062451682254,P27
S1_head_carotid,S4_chest_heart_aorta,2,0.5367928284162617,P01
S1_head_carotid,S4_chest_heart_aorta,1,0.6778495673684882,P02
S1_head_carotid,S4_chest_heart_aorta,19,-0.2760721528270192,P03
S1_head_carotid,S4_chest_heart_aorta,1,0.8573582722685449,P04
S1_head_carotid,S4_chest_heart_aorta,24,-0.41477605458586897,P05
S1_head_carotid,S4_chest_heart_aorta,7,0.24156325955623265,P06
S1_head_carotid,S4_chest_heart_aorta,12,0.09703236683510995,P07
S1_head_carotid,S4_chest_heart_aorta,2,0.4297403362885216,P08
S1_head_carotid,S4_chest_heart_aorta,11,0.11578395216281333,P09
S1_head_carotid,S4_chest_heart_aorta,5,0.17936230861753155,P10
S1_head_carotid,S4_chest_heart_aorta,1,0.5297170986742901,P11
S1_head_carotid,S4_chest_heart_aorta,14,-0.0020923748862740205,P12
S1_head_carotid,S4_chest_heart_aorta,22,-0.24453238722636994,P13
S1_head_carotid,S4_chest_heart_aorta,7,0.2312238041683714,P14
S1_head_carotid,S4_chest_heart_aorta,6,0.1922843967410136,P15
S1_head_carotid,S4_chest_heart_aorta,14,0.010061306591904198,P16
S1_head_carotid,S4_chest_heart_aorta,2,0.3110435057070777,P17
S1_head_carotid,S4_chest_heart_aorta,9,0.21817781010742465,P18
