bed_id,bed_id_provenance,dataset_id,device_id,device_id_provenance,installation_id,installation_id_provenance,mattress_id,mattress_id_provenance,night_id,night_id_provenance,participant_id,participant_id_provenance,recording_date,recording_date_provenance,recording_location,recording_location_provenance,sensor_id,sensor_id_provenance,sensor_position,sensor_position_provenance,session_id,session_id_provenance,source_path
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231104,source recording filename/date token; identifies a recording night only,01,source participant directory,20231104,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/01/BCG/01_20231104_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231105,source recording filename/date token; identifies a recording night only,01,source participant directory,20231105,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/01/BCG/01_20231105_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231106,source recording filename/date token; identifies a recording night only,01,source participant directory,20231106,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/01/BCG/01_20231106_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231107,source recording filename/date token; identifies a recording night only,01,source participant directory,20231107,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/01/BCG/01_20231107_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231108,source recording filename/date token; identifies a recording night only,01,source participant directory,20231108,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/01/BCG/01_20231108_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231109,source recording filename/date token; identifies a recording night only,01,source participant directory,20231109,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/01/BCG/01_20231109_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231103,source recording filename/date token; identifies a recording night only,02,source participant directory,20231103,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/02/BCG/02_20231103_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231104,source recording filename/date token; identifies a recording night only,02,source participant directory,20231104,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/02/BCG/02_20231104_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231105,source recording filename/date token; identifies a recording night only,02,source participant directory,20231105,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/02/BCG/02_20231105_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231106,source recording filename/date token; identifies a recording night only,02,source participant directory,20231106,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/02/BCG/02_20231106_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231107,source recording filename/date token; identifies a recording night only,02,source participant directory,20231107,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/02/BCG/02_20231107_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231108,source recording filename/date token; identifies a recording night only,02,source participant directory,20231108,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/02/BCG/02_20231108_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231109,source recording filename/date token; identifies a recording night only,02,source participant directory,20231109,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/02/BCG/02_20231109_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231103,source recording filename/date token; identifies a recording night only,03,source participant directory,20231103,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/03/BCG/03_20231103_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231105,source recording filename/date token; identifies a recording night only,03,source participant directory,20231105,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/03/BCG/03_20231105_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231106,source recording filename/date token; identifies a recording night only,03,source participant directory,20231106,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/03/BCG/03_20231106_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231107,source recording filename/date token; identifies a recording night only,03,source participant directory,20231107,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/03/BCG/03_20231107_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231108,source recording filename/date token; identifies a recording night only,03,source participant directory,20231108,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/03/BCG/03_20231108_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231109,source recording filename/date token; identifies a recording night only,03,source participant directory,20231109,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/03/BCG/03_20231109_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231103,source recording filename/date token; identifies a recording night only,04,source participant directory,20231103,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/04/BCG/04_20231103_BCG.csv
